optimizer,activation,initializer,loss,final_loss,final_accuracy
Momentum,Tanh,LeCun,MAE,0.17933589675637687,0.08566666666666667
Momentum,Tanh,LeCun,Huber,0.0450858337370447,0.11326666666666667
Nesterov,ReLU,Random,CrossEntropy,2.302619258875679,0.07638333333333333
Nesterov,ReLU,Random,MSE,0.09000031553499682,0.10898333333333333
Nesterov,ReLU,Random,MAE,0.1799984726895841,0.13771666666666665
Nesterov,ReLU,Random,Huber,0.044999441227570124,0.121
Nesterov,ReLU,Xavier,CrossEntropy,2.328524751727308,0.0721
Nesterov,ReLU,Xavier,MSE,0.08986480447125529,0.14571666666666666
Nesterov,ReLU,Xavier,MAE,0.1796189621075492,0.1289
Nesterov,ReLU,Xavier,Huber,0.045376553509825716,0.09998333333333333
Nesterov,ReLU,He,CrossEntropy,2.3716680352819433,0.12173333333333333
Nesterov,ReLU,He,MSE,0.09178617597115486,0.10963333333333333
Nesterov,ReLU,He,MAE,0.17867722203737849,0.14158333333333334
Nesterov,ReLU,He,Huber,0.04593838034667052,0.07156666666666667
Nesterov,ReLU,LeCun,CrossEntropy,2.3299654472003604,0.08845
Nesterov,ReLU,LeCun,MSE,0.09065164824633604,0.0927
Nesterov,ReLU,LeCun,MAE,0.17976234129737412,0.09908333333333333
Nesterov,ReLU,LeCun,Huber,0.04498888668988476,0.1045
Nesterov,LeakyReLU,Random,CrossEntropy,2.3025647813416756,0.10475
Nesterov,LeakyReLU,Random,MSE,0.08999942211883695,0.0951
Nesterov,LeakyReLU,Random,MAE,0.1799993321290577,0.08541666666666667
Nesterov,LeakyReLU,Random,Huber,0.04499985010833238,0.11601666666666667
Nesterov,LeakyReLU,Xavier,CrossEntropy,2.314133259350198,0.08708333333333333
Nesterov,LeakyReLU,Xavier,MSE,0.0903191536384915,0.08503333333333334
Nesterov,LeakyReLU,Xavier,MAE,0.17976594516029076,0.09401666666666667
Nesterov,LeakyReLU,Xavier,Huber,0.045462993516760246,0.0666
